service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
OP40SIN,0,0,0,0,0,1,0,20170114,20230401
OP43LSUPV,1,1,1,1,1,0,0,20170612,20230105
OP9SFIN,0,1,0,1,1,1,1,20170916,20230402
OP44VUPVR,0,0,0,0,1,0,0,20180112,20230127
OP42LSUPV,1,1,1,1,0,0,0,20170102,20230105
OP41LSUPV,1,1,1,1,0,0,0,20171226,20230105
OP41VSUPV,0,0,0,0,1,0,0,20170113,20230331
OP9LUPVR,1,1,1,1,0,0,0,20180521,20230126
OP41NYAN,0,0,0,0,0,0,1,20171225,20230101
OP40VIN,0,0,0,0,1,0,0,20170203,20230331
OP41UPVSR,1,1,1,1,0,0,0,20170531,20230126
OP44FIN,0,1,0,1,1,0,1,20170115,20230402
OP43FIN,0,1,0,1,1,0,1,20170903,20230402
OP40LUPVR,1,1,1,1,0,0,0,20170109,20230126
OP41FIN,0,1,0,1,1,0,1,20170106,20230402
OP41VIUSR,0,0,0,0,1,0,0,20180112,20230127
OP40NYAN,0,0,0,0,0,0,1,20171225,20230101
OP9VSUPV,0,0,0,0,1,0,0,20171229,20221230
OP42LJIN,1,1,1,1,0,0,0,20170109,20230330
OP43LIN,1,1,1,1,1,0,0,20170911,20230331
OP9VUPVR,0,0,0,0,1,0,0,20180525,20230127
OP44SIN,0,0,0,0,0,1,0,20170114,20230401
PRUEBA,1,1,1,1,1,1,1,20160630,20230402
OP44LUPVR,1,1,1,1,0,0,0,20180108,20230126
OP9LSUPV,1,1,1,1,0,0,0,20170418,20230105
OP9VIN,0,0,0,0,1,0,0,20170113,20230331
OP42NYAN,0,0,0,0,0,0,1,20171225,20230101
OP44LSUPV,1,1,1,1,1,0,0,20170418,20230105
OP44NYAN,0,0,0,0,0,0,1,20171225,20230101
OP42VSUPV,0,0,0,0,1,0,0,20171229,20221230
OP42VIN,0,0,0,0,1,0,0,20170113,20230331
OP41VIN,0,0,0,0,1,0,0,20170113,20230331
OP40LSUPV,1,1,1,1,1,0,0,20170418,20230105
OP44LIN,1,1,1,1,0,0,0,20170109,20230330
OP41VNF,1,0,1,1,1,0,0,20171205,20230106
OP41SIN,0,0,0,0,0,1,0,20170107,20230401
OP42LUPVSR,1,1,1,1,0,0,0,20180115,20230126
OP9LJIN,1,1,1,1,0,0,0,20170109,20230330
OP40FIN,0,1,0,1,1,0,1,20170115,20230402
OP42VUPVSR,0,0,0,0,1,0,0,20180119,20230127
OP43SIN,0,0,0,0,0,1,0,20170902,20230401
OP43NYAN,0,0,0,0,0,0,1,20171225,20230101
OP41LJIN,1,1,1,1,0,0,0,20170109,20230330
OP40VUPVR,0,0,0,0,1,0,0,20170526,20230127
OP42VNF,0,0,0,0,1,0,0,20180330,20230106
OP42SIN,0,0,0,0,0,1,0,20170107,20230401
OP42FIN,0,1,0,1,1,0,1,20170106,20230402
OP44VIN,0,0,0,0,1,0,0,20171110,20230331
OP40LJIN,1,1,1,1,0,0,0,20170130,20230330
