fare_id,route_id,origin_id,destination_id,contains_id
T1_3_TICKET,651,1,4,1
T1_3_TICKET,651,1,4,3
T1_3_TICKET,651,1,4,4
T1_3_V_TICKET,651,4,1,4
T1_3_V_TICKET,651,4,1,3
T1_3_V_TICKET,651,4,1,1
T1_10_TICKET,651,3,4,3
T1_10_TICKET,651,3,4,4
T1_10_V_TICKET,651,4,3,4
T1_10_V_TICKET,651,4,3,3
T1_12_TICKET,651,4,4,4
T1_2_TICKET,651,1,3,1
T1_2_TICKET,651,1,3,3
T1_2_V_TICKET,651,3,1,3
T1_2_V_TICKET,651,3,1,1
T1_0_TICKET,651,1,1,1
T1_11_TICKET,652,3,5,3
T1_11_TICKET,652,3,5,4
T1_11_TICKET,652,3,5,5
T1_11_V_TICKET,652,5,3,5
T1_11_V_TICKET,652,5,3,4
T1_11_V_TICKET,652,5,3,3
T1_13_TICKET,652,4,5,4
T1_13_TICKET,652,4,5,5
T1_13_V_TICKET,652,5,4,5
T1_13_V_TICKET,652,5,4,4
T1_14_TICKET,652,5,5,5
T1_10_TICKET,652,3,4,3
T1_10_TICKET,652,3,4,4
T1_10_V_TICKET,652,4,3,4
T1_10_V_TICKET,652,4,3,3
T1_9_TICKET,652,3,3,3
T1_13_TICKET,653,4,5,4
T1_13_TICKET,653,4,5,5
T1_13_V_TICKET,653,5,4,5
T1_13_V_TICKET,653,5,4,4
T1_14_TICKET,653,5,5,5
T1_12_TICKET,653,4,4,4
T1_3_TICKET,654,1,4,1
T1_3_TICKET,654,1,4,2
T1_3_TICKET,654,1,4,3
T1_3_TICKET,654,1,4,4
T1_3_V_TICKET,654,4,1,4
T1_3_V_TICKET,654,4,1,3
T1_3_V_TICKET,654,4,1,2
T1_3_V_TICKET,654,4,1,1
T1_7_TICKET,654,2,4,2
T1_7_TICKET,654,2,4,3
T1_7_TICKET,654,2,4,4
T1_7_V_TICKET,654,4,2,4
T1_7_V_TICKET,654,4,2,3
T1_7_V_TICKET,654,4,2,2
T1_10_TICKET,654,3,4,3
T1_10_TICKET,654,3,4,4
T1_10_V_TICKET,654,4,3,4
T1_10_V_TICKET,654,4,3,3
T1_12_TICKET,654,4,4,4
T1_2_TICKET,654,1,3,1
T1_2_TICKET,654,1,3,2
T1_2_TICKET,654,1,3,3
T1_2_V_TICKET,654,3,1,3
T1_2_V_TICKET,654,3,1,2
T1_2_V_TICKET,654,3,1,1
T1_1_TICKET,654,1,2,1
T1_1_TICKET,654,1,2,2
T1_1_V_TICKET,654,2,1,2
T1_1_V_TICKET,654,2,1,1
T1_0_TICKET,654,1,1,1
T1_6_TICKET,2151,2,3,2
T1_6_TICKET,2151,2,3,3
T1_6_V_TICKET,2151,3,2,3
T1_6_V_TICKET,2151,3,2,2
T1_9_TICKET,2151,3,3,3
T1_5_TICKET,2151,2,2,2
T1_2_TICKET,2153,1,3,1
T1_2_TICKET,2153,1,3,2
T1_2_TICKET,2153,1,3,3
T1_2_V_TICKET,2153,3,1,3
T1_2_V_TICKET,2153,3,1,2
T1_2_V_TICKET,2153,3,1,1
T1_6_TICKET,2153,2,3,2
T1_6_TICKET,2153,2,3,3
T1_6_V_TICKET,2153,3,2,3
T1_6_V_TICKET,2153,3,2,2
T1_9_TICKET,2153,3,3,3
T1_1_TICKET,2153,1,2,1
T1_1_TICKET,2153,1,2,2
T1_1_V_TICKET,2153,2,1,2
T1_1_V_TICKET,2153,2,1,1
T1_0_TICKET,2153,1,1,1
T1_5_TICKET,2161,2,2,2
T1_5_TICKET,2162,2,2,2
T1_5_TICKET,2163,2,2,2
T1_5_TICKET,2164,2,2,2
T1_6_TICKET,2166,2,3,2
T1_6_TICKET,2166,2,3,3
T1_6_V_TICKET,2166,3,2,3
T1_6_V_TICKET,2166,3,2,2
T1_9_TICKET,2166,3,3,3
T1_5_TICKET,2166,2,2,2
T1_1_TICKET,2312,1,2,1
T1_1_TICKET,2312,1,2,2
T1_1_V_TICKET,2312,2,1,2
T1_1_V_TICKET,2312,2,1,1
T1_5_TICKET,2312,2,2,2
T1_0_TICKET,2312,1,1,1
T1_1_TICKET,2314,1,2,1
T1_1_TICKET,2314,1,2,2
T1_1_V_TICKET,2314,2,1,2
T1_1_V_TICKET,2314,2,1,1
T1_5_TICKET,2314,2,2,2
T1_0_TICKET,2314,1,1,1
T1_5_TICKET,2315,2,2,2
T1_5_TICKET,2316,2,2,2
T1_1_TICKET,2318,1,2,1
T1_1_TICKET,2318,1,2,2
T1_1_V_TICKET,2318,2,1,2
T1_1_V_TICKET,2318,2,1,1
T1_5_TICKET,2318,2,2,2
T1_0_TICKET,2318,1,1,1
T1_1_TICKET,2321,1,2,1
T1_1_TICKET,2321,1,2,2
T1_1_V_TICKET,2321,2,1,2
T1_1_V_TICKET,2321,2,1,1
T1_5_TICKET,2321,2,2,2
T1_0_TICKET,2321,1,1,1
T1_1_TICKET,2322,1,2,1
T1_1_TICKET,2322,1,2,2
T1_1_V_TICKET,2322,2,1,2
T1_1_V_TICKET,2322,2,1,1
T1_5_TICKET,2322,2,2,2
T1_0_TICKET,2322,1,1,1
T1_1_TICKET,2324,1,2,1
T1_1_TICKET,2324,1,2,2
T1_1_V_TICKET,2324,2,1,2
T1_1_V_TICKET,2324,2,1,1
T1_5_TICKET,2324,2,2,2
T1_0_TICKET,2324,1,1,1
T1_1_TICKET,2326,1,2,1
T1_1_TICKET,2326,1,2,2
T1_1_V_TICKET,2326,2,1,2
T1_1_V_TICKET,2326,2,1,1
T1_5_TICKET,2326,2,2,2
T1_0_TICKET,2326,1,1,1
T1_6_TICKET,2336,2,3,2
T1_6_TICKET,2336,2,3,3
T1_6_V_TICKET,2336,3,2,3
T1_6_V_TICKET,2336,3,2,2
T1_9_TICKET,2336,3,3,3
T1_5_TICKET,2336,2,2,2
T1_1_TICKET,2610,1,2,1
T1_1_TICKET,2610,1,2,2
T1_1_V_TICKET,2610,2,1,2
T1_1_V_TICKET,2610,2,1,1
T1_5_TICKET,2610,2,2,2
T1_0_TICKET,2610,1,1,1
T1_2_TICKET,2611,1,3,1
T1_2_TICKET,2611,1,3,2
T1_2_TICKET,2611,1,3,3
T1_2_V_TICKET,2611,3,1,3
T1_2_V_TICKET,2611,3,1,2
T1_2_V_TICKET,2611,3,1,1
T1_6_TICKET,2611,2,3,2
T1_6_TICKET,2611,2,3,3
T1_6_V_TICKET,2611,3,2,3
T1_6_V_TICKET,2611,3,2,2
T1_9_TICKET,2611,3,3,3
T1_1_TICKET,2611,1,2,1
T1_1_TICKET,2611,1,2,2
T1_1_V_TICKET,2611,2,1,2
T1_1_V_TICKET,2611,2,1,1
T1_0_TICKET,2611,1,1,1
T1_1_TICKET,3115,1,2,1
T1_1_TICKET,3115,1,2,2
T1_1_V_TICKET,3115,2,1,2
T1_1_V_TICKET,3115,2,1,1
T1_5_TICKET,3115,2,2,2
T1_0_TICKET,3115,1,1,1
T1_1_TICKET,3122,1,2,1
T1_1_TICKET,3122,1,2,2
T1_1_V_TICKET,3122,2,1,2
T1_1_V_TICKET,3122,2,1,1
T1_5_TICKET,3122,2,2,2
T1_0_TICKET,3122,1,1,1
T1_5_TICKET,3129,2,2,2
T1_5_TICKET,3135,2,2,2
T1_1_TICKET,3136,1,2,1
T1_1_TICKET,3136,1,2,2
T1_1_V_TICKET,3136,2,1,2
T1_1_V_TICKET,3136,2,1,1
T1_5_TICKET,3136,2,2,2
T1_0_TICKET,3136,1,1,1
T1_1_TICKET,3137,1,2,1
T1_1_TICKET,3137,1,2,2
T1_1_V_TICKET,3137,2,1,2
T1_1_V_TICKET,3137,2,1,1
T1_5_TICKET,3137,2,2,2
T1_0_TICKET,3137,1,1,1
T1_5_TICKET,3141,2,2,2
T1_1_TICKET,3144,1,2,1
T1_1_TICKET,3144,1,2,2
T1_1_V_TICKET,3144,2,1,2
T1_1_V_TICKET,3144,2,1,1
T1_5_TICKET,3144,2,2,2
T1_0_TICKET,3144,1,1,1
T1_1_TICKET,3151,1,2,1
T1_1_TICKET,3151,1,2,2
T1_1_V_TICKET,3151,2,1,2
T1_1_V_TICKET,3151,2,1,1
T1_5_TICKET,3151,2,2,2
T1_0_TICKET,3151,1,1,1
T1_2_TICKET,3223,1,3,1
T1_2_TICKET,3223,1,3,2
T1_2_TICKET,3223,1,3,3
T1_2_V_TICKET,3223,3,1,3
T1_2_V_TICKET,3223,3,1,2
T1_2_V_TICKET,3223,3,1,1
T1_6_TICKET,3223,2,3,2
T1_6_TICKET,3223,2,3,3
T1_6_V_TICKET,3223,3,2,3
T1_6_V_TICKET,3223,3,2,2
T1_9_TICKET,3223,3,3,3
T1_1_TICKET,3223,1,2,1
T1_1_TICKET,3223,1,2,2
T1_1_V_TICKET,3223,2,1,2
T1_1_V_TICKET,3223,2,1,1
T1_0_TICKET,3223,1,1,1
T1_1_TICKET,3224,1,2,1
T1_1_TICKET,3224,1,2,2
T1_1_V_TICKET,3224,2,1,2
T1_1_V_TICKET,3224,2,1,1
T1_5_TICKET,3224,2,2,2
T1_0_TICKET,3224,1,1,1
T1_2_TICKET,3225,1,3,1
T1_2_TICKET,3225,1,3,2
T1_2_TICKET,3225,1,3,3
T1_2_V_TICKET,3225,3,1,3
T1_2_V_TICKET,3225,3,1,2
T1_2_V_TICKET,3225,3,1,1
T1_6_TICKET,3225,2,3,2
T1_6_TICKET,3225,2,3,3
T1_6_V_TICKET,3225,3,2,3
T1_6_V_TICKET,3225,3,2,2
T1_9_TICKET,3225,3,3,3
T1_1_TICKET,3225,1,2,1
T1_1_TICKET,3225,1,2,2
T1_1_V_TICKET,3225,2,1,2
T1_1_V_TICKET,3225,2,1,1
T1_0_TICKET,3225,1,1,1
T1_1_TICKET,3250,1,2,1
T1_1_TICKET,3250,1,2,2
T1_1_V_TICKET,3250,2,1,2
T1_1_V_TICKET,3250,2,1,1
T1_5_TICKET,3250,2,2,2
T1_0_TICKET,3250,1,1,1
T1_6_TICKET,3321,2,3,2
T1_6_TICKET,3321,2,3,3
T1_6_V_TICKET,3321,3,2,3
T1_6_V_TICKET,3321,3,2,2
T1_9_TICKET,3321,3,3,3
T1_5_TICKET,3321,2,2,2
T1_6_TICKET,3323,2,3,2
T1_6_TICKET,3323,2,3,3
T1_6_V_TICKET,3323,3,2,3
T1_6_V_TICKET,3323,3,2,2
T1_9_TICKET,3323,3,3,3
T1_5_TICKET,3323,2,2,2
T1_5_TICKET,3331,2,2,2
T1_5_TICKET,3332,2,2,2
T1_6_TICKET,3333,2,3,2
T1_6_TICKET,3333,2,3,3
T1_6_V_TICKET,3333,3,2,3
T1_6_V_TICKET,3333,3,2,2
T1_9_TICKET,3333,3,3,3
T1_5_TICKET,3333,2,2,2
T1_7_TICKET,3334,2,4,2
T1_7_TICKET,3334,2,4,3
T1_7_TICKET,3334,2,4,4
T1_7_V_TICKET,3334,4,2,4
T1_7_V_TICKET,3334,4,2,3
T1_7_V_TICKET,3334,4,2,2
T1_10_TICKET,3334,3,4,3
T1_10_TICKET,3334,3,4,4
T1_10_V_TICKET,3334,4,3,4
T1_10_V_TICKET,3334,4,3,3
T1_12_TICKET,3334,4,4,4
T1_6_TICKET,3334,2,3,2
T1_6_TICKET,3334,2,3,3
T1_6_V_TICKET,3334,3,2,3
T1_6_V_TICKET,3334,3,2,2
T1_5_TICKET,3334,2,2,2
T1_6_TICKET,3335,2,3,2
T1_6_TICKET,3335,2,3,3
T1_6_V_TICKET,3335,3,2,3
T1_6_V_TICKET,3335,3,2,2
T1_9_TICKET,3335,3,3,3
T1_5_TICKET,3335,2,2,2
T1_2_TICKET,3336,1,3,1
T1_2_TICKET,3336,1,3,2
T1_2_TICKET,3336,1,3,3
T1_2_V_TICKET,3336,3,1,3
T1_2_V_TICKET,3336,3,1,2
T1_2_V_TICKET,3336,3,1,1
T1_6_TICKET,3336,2,3,2
T1_6_TICKET,3336,2,3,3
T1_6_V_TICKET,3336,3,2,3
T1_6_V_TICKET,3336,3,2,2
T1_9_TICKET,3336,3,3,3
T1_1_TICKET,3336,1,2,1
T1_1_TICKET,3336,1,2,2
T1_1_V_TICKET,3336,2,1,2
T1_1_V_TICKET,3336,2,1,1
T1_0_TICKET,3336,1,1,1
T1_6_TICKET,3338,2,3,2
T1_6_TICKET,3338,2,3,3
T1_6_V_TICKET,3338,3,2,3
