stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1,48044035,BIZKAIA ZUBIA/PUENTE BIZKAIA (1),,43.3239868576802,-3.01547359032029,2,,0,,Europe/Madrid,1,0,
2,48044070,SANTA ANA 2 (2),,43.3252297525324,-3.0133881143597,2,,0,,Europe/Madrid,1,0,
3,48044077,SANTA ANA PLAZA (3),,43.3234362312852,-3.01164511036718,2,,0,,Europe/Madrid,1,0,
4,48044054,EDUARDO COSTE (4),,43.3208897463881,-3.01153855973448,2,,0,,Europe/Madrid,1,0,
5,48044071,AMAIA 22 (5),,43.3226817460945,-3.00961488571885,2,,0,,Europe/Madrid,1,0,
6,48054049,AMAIA (ANBULATORIOA) (6),,43.3243207341624,-3.00755528474635,2,,0,,Europe/Madrid,1,0,
7,48054037,LAMIAKO (METRO) (7),,43.3215466683025,-3.00097432185437,2,,0,,Europe/Madrid,1,0,
8,48054022,ITURRIONDO (METRO LEIOA) (8),,43.3184504487174,-2.99095875230605,2,,0,,Europe/Madrid,1,0,
9,48054039,UDONDO (9),,43.3200878884178,-2.98679862472121,2,,0,,Europe/Madrid,1,0,
11,48054002,DONIBANE/SAN JUAN (KONTSERBATORIOA) (11),,43.3238242864482,-2.98298659489604,2,,0,,Europe/Madrid,1,0,
12,48054003,ELEXALDE (AUZO ETXEA/CENTRO CÍVICO) (12),,43.3257697841976,-2.98684648386946,2,,0,,Europe/Madrid,1,0,
13,48054004,ONDIZ (13),,43.3278683483071,-2.99107675321759,2,,0,,Europe/Madrid,1,0,
14,48054042,ARTATZAGANE  (FARMAZIA) (14),,43.3324776936762,-2.98897215262828,2,,0,,Europe/Madrid,1,0,
15,48054043,ALDEKOENA (15),,43.3331623387947,-2.98522880965129,2,,0,,Europe/Madrid,0,0,
16,48054013,SARRIENA (IRLANDESAS) (16),,43.3336572277818,-2.98265054127065,2,,0,,Europe/Madrid,1,0,
17,48054012,J.M. BARANDIARAN (INSTITUTUA) (17),,43.33382606513,-2.97448982899592,2,,0,,Europe/Madrid,1,0,
